timestamp,deviceType,deviceName,consumption,cost
2025-09-17T04:15,electronics,Switch S4X,0.406,0.114
2025-09-17T04:30,appliances,Coffee Machine UWK,0.4,0.112
2025-09-17T06:15,cooling,Vent Fan 5T5,2.151,0.602
2025-09-17T09:15,heating,Heat Pump QGC,3.391,0.949
2025-09-17T09:15,cooling,Vent Fan WSY,2.063,0.578
2025-09-17T10:30,appliances,Microwave ZLW,0.729,0.204
2025-09-17T10:45,cooling,Vent Fan PMT,2.786,0.78
2025-09-17T10:45,cooling,AC Unit 2WW,4.253,1.191
2025-09-17T11:00,cooling,Vent Fan 624,2.56,0.717
2025-09-17T12:00,lighting,Street Light LZK,1.118,0.313
2025-09-17T15:15,electronics,Workstation VXR,1.306,0.366
2025-09-17T16:00,lighting,Tube Light 0I8,0.31,0.087
2025-09-17T16:15,heating,HVAC R97,4.952,1.387
2025-09-17T16:15,electronics,Workstation EIQ,1.319,0.369
2025-09-17T20:00,lighting,Floodlight DEB,0.491,0.137
2025-09-17T20:15,appliances,Washer 0DA,0.658,0.184
2025-09-17T23:30,heating,HVAC B2Y,5.201,1.456
2025-09-17T23:30,lighting,LED Strip L7P,0.939,0.263
2025-09-17T23:45,appliances,Washer ZL8,0.793,0.222
2025-09-18T01:15,appliances,Refrigerator 17F,0.859,0.241
2025-09-18T03:15,heating,Boiler E5L,3.341,0.935
2025-09-18T04:30,appliances,Microwave OTC,1.942,0.544
2025-09-18T05:30,heating,Water Heater 5MP,1.926,0.539
2025-09-18T06:15,appliances,Coffee Machine MRQ,2.202,0.617
2025-09-18T06:15,heating,Boiler 9CK,0.824,0.231
2025-09-18T10:00,appliances,Washer NXK,1.459,0.409
2025-09-18T10:30,appliances,Microwave H04,0.803,0.225
2025-09-18T10:30,appliances,Washer I39,1.105,0.309
2025-09-18T11:15,appliances,Coffee Machine OLU,2.175,0.609
2025-09-18T11:45,lighting,Track Light B8N,0.459,0.129
2025-09-18T13:45,electronics,IoT Gateway RPX,0.882,0.247
2025-09-18T14:15,lighting,LED Strip D7P,0.881,0.247
2025-09-18T15:30,heating,Boiler OZG,4.999,1.4
2025-09-18T15:30,appliances,Washer H5O,1.531,0.429
2025-09-18T16:30,lighting,Tube Light OXQ,0.258,0.072
2025-09-18T17:00,cooling,Evaporator GSE,2.735,0.766
2025-09-18T18:15,cooling,Vent Fan FJ2,2.563,0.718
2025-09-18T19:45,cooling,Cooling Unit 47X,3.461,0.969
2025-09-18T23:00,electronics,Switch 2KQ,1.303,0.365
2025-09-19T00:00,appliances,Microwave VHM,1.49,0.417
2025-09-19T01:15,appliances,Coffee Machine NOZ,1.68,0.47
2025-09-19T03:45,electronics,Router YND,0.565,0.158
2025-09-19T12:45,lighting,Floodlight MWV,0.322,0.09
2025-09-19T16:00,heating,Heat Pump CI7,1.986,0.556
2025-09-19T16:00,appliances,Vending Machine CQR,2.22,0.622
2025-09-19T16:30,electronics,Router KTM,1.062,0.297
2025-09-19T18:15,electronics,Router JXA,0.309,0.087
2025-09-20T00:00,electronics,CNC Controller 0JE,0.306,0.086
2025-09-20T00:15,lighting,LED Strip NWV,0.943,0.264
2025-09-20T01:30,lighting,Downlight 6EF,0.258,0.072
2025-09-20T03:45,electronics,Switch 7AA,0.373,0.104
2025-09-20T06:15,appliances,Dryer 1NP,0.233,0.065
2025-09-20T11:00,lighting,Track Light N5W,0.884,0.248
2025-09-20T12:00,appliances,Coffee Machine 91C,0.175,0.049
2025-09-20T13:00,cooling,Chiller 66Z,1.229,0.344
2025-09-20T13:15,appliances,Coffee Machine 8XF,1.118,0.313
2025-09-20T13:30,appliances,Dishwasher BFK,1.979,0.554
2025-09-20T17:15,heating,Water Heater NJ2,1.767,0.495
2025-09-20T18:15,electronics,Router NBR,1.475,0.413
2025-09-20T22:15,electronics,Workstation L4A,0.181,0.051
2025-09-20T23:15,electronics,Router 4CE,1.021,0.286
2025-09-21T00:45,appliances,Microwave W2X,0.246,0.069
2025-09-21T01:15,cooling,Evaporator ZRL,3.969,1.111
2025-09-21T03:00,appliances,Vending Machine ILT,1.703,0.477
2025-09-21T03:15,lighting,Floodlight WGD,1.015,0.284
2025-09-21T05:30,cooling,AC Unit D7M,1.638,0.459
2025-09-21T08:00,appliances,Dishwasher P2S,1.585,0.444
2025-09-21T10:45,lighting,Tube Light P80,0.656,0.184
2025-09-21T12:15,lighting,Tube Light I5J,0.39,0.109
2025-09-21T12:15,lighting,Floodlight NP1,0.29,0.081
2025-09-21T13:45,electronics,Monitor TG5,0.888,0.249
2025-09-21T13:45,appliances,Dishwasher I2G,2.011,0.563
2025-09-21T14:00,appliances,Coffee Machine RCB,0.476,0.133
2025-09-21T15:30,lighting,Panel Light NZF,0.863,0.242
2025-09-21T18:00,cooling,Evaporator FQG,4.253,1.191
2025-09-21T19:15,appliances,Dishwasher 6FJ,2.495,0.699
2025-09-21T21:00,electronics,Workstation K1H,0.254,0.071
2025-09-22T03:30,electronics,IoT Gateway 5EZ,0.859,0.241
2025-09-22T04:00,cooling,AC Unit VDR,0.523,0.146
2025-09-22T04:00,cooling,Evaporator 30J,0.832,0.233
2025-09-22T08:30,cooling,AC Unit VS8,2.367,0.663
2025-09-22T09:15,appliances,Vending Machine C4G,1.005,0.281
2025-09-22T11:00,appliances,Washer XNM,1.509,0.423
2025-09-22T13:00,heating,HVAC MWB,1.095,0.307
2025-09-22T16:00,appliances,Washer RYL,0.445,0.125
2025-09-22T16:30,heating,Water Heater YEU,1.219,0.341
2025-09-22T17:45,appliances,Microwave 64Z,1.208,0.338
2025-09-22T19:00,lighting,Downlight W9I,0.066,0.018
2025-09-22T19:15,appliances,Refrigerator AIZ,1.717,0.481
2025-09-22T21:15,appliances,Dishwasher 24O,1.364,0.382
2025-09-22T22:15,appliances,Washer 76D,0.557,0.156
2025-09-22T23:00,heating,HVAC 36P,4.039,1.131
2025-09-22T23:00,heating,Water Heater OZO,2.445,0.685
2025-09-22T23:45,heating,Water Heater YRJ,2.692,0.754
2025-09-23T00:30,heating,Water Heater 6OA,5.982,1.675
2025-09-23T01:15,heating,Water Heater J3Z,5.554,1.555
2025-09-23T03:00,lighting,Tube Light OD3,0.436,0.122
2025-09-23T03:15,cooling,AC Unit 79E,1.699,0.476
2025-09-23T05:00,appliances,Microwave QCP,1.093,0.306
2025-09-23T05:30,electronics,Monitor MD9,0.802,0.225
2025-09-23T05:45,cooling,AC Unit LFL,1.584,0.444
2025-09-23T07:45,electronics,CNC Controller IHR,0.207,0.058
2025-09-23T08:45,heating,Radiator XOM,5.856,1.64
2025-09-23T09:30,lighting,Track Light EIQ,0.073,0.02
2025-09-23T11:15,lighting,LED Strip 4SY,0.467,0.131
2025-09-23T13:30,electronics,Workstation O70,1.421,0.398
2025-09-23T15:30,cooling,Evaporator 510,3.455,0.967
2025-09-23T17:30,heating,Water Heater NUA,3.032,0.849
2025-09-23T18:00,electronics,IoT Gateway YRT,0.47,0.132
2025-09-23T19:15,lighting,Floodlight 5F4,0.308,0.086
2025-09-23T21:00,cooling,Evaporator WGR,0.894,0.25
2025-09-23T21:30,cooling,Evaporator P9B,1.927,0.54
2025-09-23T21:45,cooling,AC Unit LVJ,3.975,1.113
2025-09-23T23:45,heating,Radiator PE8,1.379,0.386
2025-09-24T01:00,electronics,Router 3J6,1.285,0.36
2025-09-24T02:30,cooling,Chiller 8CM,2.529,0.708
2025-09-24T02:45,appliances,Dryer K4K,1.905,0.533
2025-09-24T03:00,heating,HVAC ES8,3.374,0.945
2025-09-24T04:15,lighting,Floodlight OOB,1.156,0.324
2025-09-24T07:00,electronics,CNC Controller E7F,0.777,0.218
2025-09-24T07:00,cooling,Chiller CZH,3.791,1.061
2025-09-24T09:45,heating,Heat Pump SSD,1.964,0.55
2025-09-24T11:45,cooling,Chiller SO5,3.167,0.887
2025-09-24T13:30,electronics,3D Printer S5H,1.147,0.321
2025-09-24T14:15,appliances,Microwave KW9,1.07,0.3
2025-09-24T17:30,heating,Radiator 13B,3.029,0.848
2025-09-24T17:30,heating,Heat Pump 1X9,3.764,1.054
2025-09-24T18:00,lighting,Floodlight FC1,0.306,0.086
2025-09-24T20:15,lighting,LED Strip 8HV,1.191,0.333
2025-09-24T20:30,appliances,Refrigerator SAG,0.992,0.278
2025-09-24T21:45,heating,Radiator 8UQ,2.355,0.659
2025-09-24T22:30,lighting,Downlight DEN,0.961,0.269
2025-09-24T22:30,heating,Water Heater 2YV,2.696,0.755
2025-09-24T22:45,cooling,Evaporator F7V,3.444,0.964
2025-09-24T23:00,heating,Boiler 75A,4.477,1.254
2025-09-25T00:30,cooling,Cooling Unit T6R,4.28,1.198
2025-09-25T01:00,heating,Water Heater 8IH,3.407,0.954
2025-09-25T01:30,appliances,Washer XR7,1.21,0.339
2025-09-25T02:00,heating,Radiator W3W,2.103,0.589
2025-09-25T02:45,heating,HVAC 355,5.906,1.654
2025-09-25T03:15,cooling,Vent Fan ZPW,1.553,0.435
2025-09-25T03:30,electronics,Router KK5,0.287,0.08
2025-09-25T03:45,electronics,CNC Controller RIM,0.875,0.245
2025-09-25T04:00,electronics,Monitor 9UV,0.118,0.033
2025-09-25T05:15,electronics,Router BFB,0.945,0.265
2025-09-25T05:45,lighting,Panel Light KIF,1.18,0.33
2025-09-25T07:30,electronics,Monitor BM2,1.455,0.407
2025-09-25T08:45,appliances,Refrigerator LO5,0.878,0.246
2025-09-25T09:00,appliances,Coffee Machine TCR,1.69,0.473
2025-09-25T09:45,appliances,Dishwasher 0SC,0.884,0.248
2025-09-25T11:15,lighting,LED Strip AYM,0.417,0.117
2025-09-25T11:45,lighting,Floodlight LLU,0.559,0.157
2025-09-25T12:00,cooling,Vent Fan GUB,1.216,0.34
2025-09-25T14:00,heating,Boiler GJJ,3.487,0.976
2025-09-25T15:45,appliances,Washer BPG,0.321,0.09
2025-09-25T16:15,appliances,Vending Machine 9XG,0.211,0.059
2025-09-25T17:30,electronics,Monitor NL5,1.202,0.337
2025-09-25T17:30,appliances,Dryer FCT,2.336,0.654
2025-09-25T18:15,electronics,CNC Controller 0TS,0.965,0.27
2025-09-25T20:00,cooling,Evaporator VQN,1.993,0.558
2025-09-25T20:00,lighting,Panel Light 2AF,0.609,0.171
2025-09-25T20:15,lighting,Panel Light WR6,0.955,0.267
2025-09-25T21:45,cooling,Cooling Unit XBN,1.228,0.344
2025-09-25T22:45,heating,HVAC LXN,4.359,1.221
2025-09-25T22:45,electronics,CNC Controller DY1,0.944,0.264
2025-09-25T23:15,heating,Water Heater LPD,1.755,0.491
2025-09-25T23:30,appliances,Washer UEM,2.095,0.587
2025-09-25T23:45,lighting,Downlight 7GE,0.474,0.133
2025-09-26T00:00,electronics,IoT Gateway 7IA,1.008,0.282
2025-09-26T00:00,cooling,Vent Fan 8QR,4.252,1.191
2025-09-26T03:00,heating,Heat Pump 6LX,2.333,0.653
2025-09-26T03:15,electronics,Switch 84L,0.135,0.038
2025-09-26T05:30,cooling,Cooling Unit 96A,2.927,0.82
2025-09-26T06:15,lighting,Downlight 0OY,0.556,0.156
2025-09-26T07:15,cooling,Evaporator RP3,3.646,1.021
2025-09-26T07:30,appliances,Microwave LRM,2.299,0.644
2025-09-26T07:45,lighting,Track Light 70I,0.315,0.088
2025-09-26T13:30,appliances,Dryer 0D7,0.75,0.21
2025-09-26T14:15,heating,Water Heater M9Z,3.507,0.982
2025-09-26T18:30,electronics,Router HA5,1.507,0.422
2025-09-26T21:00,cooling,Evaporator UDE,1.388,0.389
2025-09-26T21:45,lighting,Tube Light 8D4,0.198,0.055
2025-09-26T23:15,cooling,AC Unit WX6,0.77,0.216
2025-09-26T23:15,appliances,Dryer WDK,0.391,0.109
2025-09-27T00:15,heating,Water Heater 40V,5.93,1.66
2025-09-27T04:15,cooling,Cooling Unit GWN,3.107,0.87
2025-09-27T05:00,heating,HVAC GQY,2.457,0.688
2025-09-27T06:00,heating,Water Heater 96M,1.91,0.535
2025-09-27T06:30,lighting,Tube Light 73I,0.444,0.124
2025-09-27T08:00,cooling,AC Unit 5AL,3.694,1.034
2025-09-27T10:00,cooling,Cooling Unit QJ2,2.572,0.72
2025-09-27T12:15,lighting,Floodlight THO,0.924,0.259
2025-09-27T14:30,electronics,Monitor CV2,1.373,0.384
2025-09-27T14:45,heating,Boiler LYO,3.276,0.917
2025-09-27T15:45,electronics,IoT Gateway R8H,0.689,0.193
2025-09-27T16:00,electronics,Router 2M7,0.769,0.215
2025-09-27T16:45,electronics,Switch JMK,0.759,0.213
2025-09-27T20:45,lighting,Tube Light ZGE,0.764,0.214
2025-09-27T21:15,cooling,Cooling Unit 0OS,1.978,0.554
2025-09-27T22:30,cooling,Vent Fan FVU,3.155,0.883
2025-09-27T23:15,heating,Heat Pump 5E5,5.957,1.668
2025-09-28T00:30,cooling,Chiller U28,1.547,0.433
2025-09-28T00:45,lighting,Floodlight NKV,1.15,0.322
2025-09-28T01:00,cooling,Evaporator KKG,3.095,0.867
2025-09-28T01:00,appliances,Microwave H7C,0.602,0.169
2025-09-28T01:45,appliances,Dryer CDO,0.17,0.048
2025-09-28T02:00,electronics,3D Printer Y22,0.11,0.031
2025-09-28T02:30,electronics,CNC Controller 32G,1.076,0.301
2025-09-28T03:15,cooling,Evaporator 55T,0.911,0.255
2025-09-28T05:30,appliances,Coffee Machine TPQ,0.229,0.064
2025-09-28T06:15,heating,Radiator USA,1.491,0.417
2025-09-28T06:45,cooling,AC Unit AVF,2.449,0.686
2025-09-28T07:30,lighting,Downlight YIP,1.013,0.284
2025-09-28T08:45,lighting,Floodlight ET7,0.909,0.255
2025-09-28T11:30,lighting,Downlight ZX8,0.89,0.249
2025-09-28T12:45,heating,Water Heater LTI,0.932,0.261
2025-09-28T14:00,appliances,Microwave 9LH,0.567,0.159
2025-09-28T18:30,appliances,Microwave 8IL,2.173,0.608
2025-09-28T22:00,cooling,Cooling Unit SVG,3.855,1.079
2025-09-29T00:15,heating,Radiator H0I,3.063,0.858
2025-09-29T02:00,cooling,Vent Fan B1W,3.847,1.077
2025-09-29T05:45,electronics,Workstation OSW,0.451,0.126
2025-09-29T08:00,cooling,Cooling Unit HNP,3.408,0.954
2025-09-29T08:15,electronics,3D Printer 9F6,0.177,0.05
2025-09-29T10:45,appliances,Refrigerator 6VO,1.077,0.302
2025-09-29T18:30,cooling,Chiller MN7,0.533,0.149
2025-09-29T19:00,heating,Boiler 3CU,4.862,1.361
2025-09-29T19:45,heating,Boiler MT6,2.487,0.696
2025-09-29T21:15,lighting,Downlight CDK,1.066,0.298
2025-09-29T22:00,electronics,3D Printer A52,1.506,0.422
2025-09-29T23:00,cooling,Chiller WFG,2.55,0.714
2025-09-29T23:45,heating,Water Heater DYO,3.06,0.857
2025-09-30T00:00,lighting,LED Strip VCD,1.08,0.302
2025-09-30T00:45,electronics,IoT Gateway N4U,0.198,0.055
2025-09-30T02:00,heating,Radiator 6IK,4.297,1.203
2025-09-30T03:00,heating,Water Heater T54,4.53,1.268
2025-09-30T04:30,cooling,Evaporator D9C,1.414,0.396
2025-09-30T05:00,electronics,IoT Gateway VB1,0.558,0.156
2025-09-30T05:15,heating,Water Heater DL5,2.248,0.629
2025-09-30T05:15,cooling,AC Unit 4WJ,3.583,1.003
2025-09-30T05:45,cooling,AC Unit 3OT,1.104,0.309
2025-09-30T06:30,appliances,Coffee Machine 6OG,0.238,0.067
2025-09-30T08:00,cooling,AC Unit VCL,1.811,0.507
2025-09-30T08:00,appliances,Microwave 479,0.541,0.151
2025-09-30T08:45,appliances,Vending Machine 37U,0.401,0.112
2025-09-30T10:30,cooling,Cooling Unit GYU,2.36,0.661
2025-09-30T11:15,appliances,Coffee Machine FID,0.167,0.047
2025-09-30T14:30,heating,Water Heater KX3,2.476,0.693
2025-09-30T16:00,heating,HVAC T2I,3.296,0.923
2025-09-30T18:15,cooling,AC Unit WCG,0.588,0.165
2025-09-30T18:15,heating,Heat Pump 234,2.468,0.691
2025-09-30T18:45,electronics,Router 11X,0.958,0.268
2025-09-30T18:45,cooling,Evaporator 6U6,1.551,0.434
2025-09-30T23:00,heating,HVAC VUN,1.214,0.34
2025-10-01T00:15,lighting,Floodlight 8XS,0.85,0.238
2025-10-01T00:45,heating,Radiator KKN,1.862,0.521
2025-10-01T00:45,heating,Boiler 1FF,5.131,1.437
2025-10-01T02:00,lighting,Street Light 3B0,0.576,0.161
2025-10-01T03:00,lighting,Panel Light XPC,0.54,0.151
2025-10-01T03:15,electronics,Monitor SQ5,0.493,0.138
2025-10-01T05:30,heating,Water Heater ISS,5.934,1.662
2025-10-01T05:45,lighting,Floodlight 3C5,0.687,0.192
2025-10-01T06:00,lighting,Downlight DU1,1.2,0.336
2025-10-01T06:15,heating,HVAC GTZ,3.616,1.012
2025-10-01T11:45,electronics,3D Printer GYC,0.308,0.086
2025-10-01T18:15,appliances,Coffee Machine BA2,0.322,0.09
2025-10-01T20:00,electronics,CNC Controller JM7,0.163,0.046
2025-10-01T21:00,electronics,Switch PFA,0.851,0.238
2025-10-01T21:45,appliances,Vending Machine 1DT,1.53,0.428
2025-10-01T22:00,heating,Radiator VG7,3.608,1.01
2025-10-01T23:45,electronics,Workstation YYM,0.454,0.127
2025-10-02T01:15,electronics,3D Printer FN8,0.946,0.265
2025-10-02T02:00,heating,Heat Pump 2WA,5.132,1.437
2025-10-02T07:15,lighting,Track Light QX2,0.179,0.05
2025-10-02T12:30,cooling,Vent Fan DQS,1.527,0.428
2025-10-02T18:00,electronics,Router 8EL,0.155,0.043
2025-10-02T18:15,appliances,Dryer 0HG,0.476,0.133
2025-10-02T20:30,heating,HVAC IYP,4.198,1.175
2025-10-02T21:00,heating,Water Heater 4CT,4.076,1.141
2025-10-02T22:15,cooling,AC Unit WJL,0.843,0.236
2025-10-03T00:00,lighting,LED Strip VWW,0.77,0.216
2025-10-03T00:45,electronics,3D Printer PT7,0.61,0.171
2025-10-03T00:45,electronics,3D Printer K6O,0.278,0.078
2025-10-03T04:30,appliances,Dishwasher RQY,1.534,0.43
2025-10-03T05:00,electronics,Router QAZ,0.126,0.035
2025-10-03T06:45,cooling,Chiller ZI2,2.591,0.725
2025-10-03T08:15,appliances,Dryer AFN,2.485,0.696
2025-10-03T10:00,appliances,Refrigerator XFZ,1.868,0.523
2025-10-03T11:45,heating,Heat Pump 8JZ,0.913,0.256
2025-10-03T12:00,electronics,Switch TJU,0.382,0.107
2025-10-03T12:00,cooling,Vent Fan G58,4.388,1.229
2025-10-03T13:15,lighting,Downlight 28N,1.126,0.315
2025-10-03T15:45,cooling,Cooling Unit 8GA,1.075,0.301
2025-10-03T16:00,lighting,LED Strip XR0,0.297,0.083
2025-10-03T16:30,heating,Water Heater DEQ,3.223,0.902
2025-10-03T17:30,appliances,Vending Machine K1P,0.998,0.279
2025-10-03T18:45,electronics,Workstation B1B,0.963,0.27
2025-10-03T19:30,lighting,Street Light VWA,0.376,0.105
2025-10-03T19:30,lighting,Panel Light CZF,0.599,0.168
2025-10-03T20:00,cooling,Cooling Unit DFX,3.317,0.929
2025-10-03T22:00,heating,Heat Pump XQ2,1.0,0.28
2025-10-03T22:45,appliances,Dryer WD6,1.53,0.428
2025-10-03T23:15,heating,Heat Pump 4Q8,5.089,1.425
2025-10-04T01:45,electronics,Switch MK7,0.644,0.18
2025-10-04T02:00,electronics,Router PIQ,0.814,0.228
2025-10-04T05:15,heating,Heat Pump 182,4.071,1.14
2025-10-04T09:15,heating,Boiler 6C9,2.505,0.701
2025-10-04T11:45,electronics,Monitor VVH,1.563,0.438
2025-10-04T14:00,lighting,Track Light SPO,0.616,0.172
2025-10-04T16:15,heating,Boiler 9DT,5.353,1.499
2025-10-04T17:00,appliances,Vending Machine WF7,1.536,0.43
2025-10-04T18:45,electronics,Workstation TXG,1.107,0.31
2025-10-04T23:00,cooling,Cooling Unit TGU,3.803,1.065
2025-10-04T23:00,lighting,Tube Light Q7G,0.221,0.062
2025-10-05T01:45,electronics,Workstation ZZE,0.723,0.202
2025-10-05T11:00,cooling,Vent Fan TCR,0.921,0.258
2025-10-05T11:00,lighting,Tube Light T05,1.092,0.306
2025-10-05T11:45,electronics,IoT Gateway M7E,1.107,0.31
2025-10-05T12:00,heating,HVAC ESG,5.784,1.62
2025-10-05T12:00,appliances,Dishwasher RV1,0.42,0.118
2025-10-05T13:00,heating,Heat Pump DW1,2.987,0.836
2025-10-05T14:45,cooling,Evaporator 6B6,2.037,0.57
2025-10-05T17:00,lighting,Track Light PI6,0.295,0.083
